WA Num,Well Name,Operator,Abandoned Status Date,Casing Cutoff Flag,COR Flag
05508,CNRL ET AL  HELMET A- 009-B/094-P-10,Canadian Natural Resources Limited,14-FEB-2011,Y,N
13213,CNRL CHESAPEAKE HZ HELMET B- 088-D/094-P-10,Canadian Natural Resources Limited,14-FEB-2011,Y,N
15994,CNRL ET AL  ELM D- 063-C/094-H-07,Canadian Natural Resources Limited,05-FEB-2011,Y,N
02004,CNRL  UNIT INGA  16-26-088-24,Canadian Natural Resources Limited,04-FEB-2011,Y,Y
13073,CNRL  HZ BLUEBERRY B- 091-L/094-A-12,Canadian Natural Resources Limited,04-FEB-2011,Y,N
01961,CNRL ET AL  PEEJAY D- 059-C/094-A-16,Canadian Natural Resources Limited,03-FEB-2011,Y,N
10401,CNRL   DOIG D- 084-C/094-A-16,Canadian Natural Resources Limited,03-FEB-2011,Y,N
11925,CNRL ET AL  ZAREMBA B- 011-H/094-H-06,Canadian Natural Resources Limited,02-FEB-2011,Y,N
02698,CNRL ET AL  WEASEL D-A002-B/094-H-02,Canadian Natural Resources Limited,01-FEB-2011,Y,N
00709,CNRL   WEASEL D- 050-A/094-H-02,Canadian Natural Resources Limited,01-FEB-2011,Y,N
10414,CNRL ET AL  ZAREMBA D- 051-A/094-H-06,Canadian Natural Resources Limited,31-JAN-2011,Y,N
10446,CNRL   ZAREMBA B- 060-D/094-H-07,Canadian Natural Resources Limited,31-JAN-2011,Y,N
08815,CNRL ET AL  GRAHAM B- 004-K/094-B-08,Canadian Natural Resources Limited,28-JAN-2011,Y,N
05338,CNRL ET AL  RING A- 097-H/094-H-09,Canadian Natural Resources Limited,24-JAN-2011,Y,Y
07070,CNRL ET AL  RING C- 096-A/094-H-16,Canadian Natural Resources Limited,23-JAN-2011,Y,Y
12320,CNRL   RING C- 054-L/094-H-09,Canadian Natural Resources Limited,23-JAN-2011,Y,Y
12449,CNRL   DOIG D-A063-C/094-A-16,Canadian Natural Resources Limited,21-JAN-2011,Y,N
11248,CNRL ET AL  REDEYE C- 099-D/094-H-10,Canadian Natural Resources Limited,20-JAN-2011,Y,Y
09620,CNRL   RABBIT C- 083-B/094-A-16,Canadian Natural Resources Limited,19-JAN-2011,Y,N
20739,CNRL   MERCURY D- 096-A/094-H-11,Canadian Natural Resources Limited,18-JAN-2011,Y,Y
20740,CNRL   MERCURY D- 099-A/094-H-11,Canadian Natural Resources Limited,18-JAN-2011,Y,Y
02588,PACIFIC CANBRIAM   KOBES D- 057-A/094-B-09,Pacific Canbriam Energy Limited,16-JAN-2011,Y,N
02288,CNRL ET AL  CRUSH D- 029-F/094-A-16,Canadian Natural Resources Limited,16-JAN-2011,Y,N
12485,CNRL ET AL  PICKELL A- 094-A/094-H-06,Canadian Natural Resources Limited,14-JAN-2011,Y,N
04402,CNRL ET AL  PLUTO  10-14-086-17,Canadian Natural Resources Limited,13-JAN-2011,Y,N
10598,CNRL   RING C- 034-C/094-H-16,Canadian Natural Resources Limited,12-JAN-2011,Y,N
12001,CNRL   BEAVERTAIL D-A088-A/094-A-15,Canadian Natural Resources Limited,12-JAN-2011,Y,N
00386,CNRL   DAIBER C- 076-D/094-B-16,Canadian Natural Resources Limited,11-JAN-2011,Y,N
12318,CNRL   RING C- 062-L/094-H-09,Canadian Natural Resources Limited,11-JAN-2011,Y,Y
05459,CNRL ET AL  BIRCH D- 053-I/094-A-13,Canadian Natural Resources Limited,10-JAN-2011,Y,N
04941,CNRL ET AL  BIRCH D- 075-I/094-A-13,Canadian Natural Resources Limited,10-JAN-2011,Y,N
01500,CNRL   BUICK C- 032-A/094-A-14,Canadian Natural Resources Limited,09-JAN-2011,Y,N
09320,CNRL ET AL  PRESPATOU C- 058-B/094-H-03,Canadian Natural Resources Limited,08-JAN-2011,Y,N
06645,CNRL ET AL  W STODDART  10-23-087-21,Canadian Natural Resources Limited,08-JAN-2011,Y,N
