,WA,Form,Abandoned Status Date,Area,RR Date,Fluid_AGAS,Fluid_GAS,Fluid_MGAS,Fluid_MOG,Fluid_MOIL,Fluid_OIL,Fluid_UND,Fluid_WATR,production_time,Year
683,1555,2900,1984-11-20,7600.0,1965-01-11,False,False,False,False,False,True,False,False,7253,1965
688,1567,4805,1986-01-09,8400.0,1965-01-17,False,False,False,False,False,True,False,False,7662,1965
691,1584,4800,1996-02-14,6800.0,1965-03-10,False,False,False,False,False,True,False,False,11298,1965
692,1590,4800,1995-06-29,3300.0,1965-02-13,False,False,False,False,False,True,False,False,11093,1965
695,1602,8600,1970-06-09,7770.0,1965-03-28,False,True,False,False,False,False,False,False,1899,1965
701,1630,2900,1976-10-25,2800.0,1965-03-26,False,True,False,False,False,False,False,False,4231,1965
706,1639,4800,1995-03-10,6800.0,1965-03-19,False,False,False,False,False,True,False,False,10948,1965
707,1639,2700,1995-03-10,6800.0,1965-03-19,False,False,False,False,False,True,False,False,10948,1965
708,1643,4800,1983-04-11,6800.0,1965-04-01,False,False,False,False,False,True,False,False,6584,1965
709,1646,4800,1995-06-26,3300.0,1965-04-08,False,False,False,False,False,True,False,False,11036,1965
710,1651,2900,1973-07-06,7600.0,1965-04-06,False,False,False,False,False,True,False,False,3013,1965
711,1661,4800,1983-03-07,6800.0,1965-06-06,False,False,False,False,False,True,False,False,6483,1965
712,1664,4800,1975-02-04,6800.0,1965-06-09,False,True,False,False,False,False,False,False,3527,1965
716,1675,4535,2000-06-01,2000.0,1965-06-24,False,False,False,False,False,True,False,False,12761,1965
719,1683,4800,1972-12-12,6800.0,1965-07-15,False,False,False,False,False,True,False,False,2707,1965
721,1691,4800,1982-05-14,6800.0,1965-07-15,False,False,False,False,False,True,False,False,6147,1965
722,1692,2900,1976-11-08,7600.0,1965-08-07,False,False,False,False,False,True,False,False,4111,1965
723,1698,4800,1991-12-15,6800.0,1965-08-04,False,False,False,False,False,True,False,False,9629,1965
736,1714,2900,1998-12-23,7600.0,1965-08-18,False,False,False,False,False,True,False,False,12180,1965
737,1720,4535,1996-12-21,2000.0,1965-09-02,False,False,False,False,False,True,False,False,11433,1965
740,1726,4800,1996-10-31,8300.0,1965-09-15,False,False,False,False,False,True,False,False,11369,1965
741,1728,4100,1990-11-17,6400.0,1965-09-27,False,True,False,False,False,False,False,False,9182,1965
