,WA,Form,Abandoned Status Date,RR Date,Fluid_AGAS,Fluid_GAS,Fluid_MGAS,Fluid_MOG,Fluid_MOIL,Fluid_OIL,Fluid_UND,Fluid_WATR,production_time
206,360,4535,2021-08-17,1958-05-30,False,False,False,False,False,True,False,False,23090
207,361,4535,1971-06-25,1958-06-20,False,False,False,False,False,True,False,False,4753
208,367,4100,2011-03-09,1958-07-16,False,True,False,False,False,False,False,False,19229
209,367,2900,2011-03-09,1958-07-16,False,True,False,False,False,False,False,False,19229
210,372,2900,2015-07-05,1958-11-13,False,True,False,False,False,False,False,False,20688
211,382,4800,2008-06-17,1958-11-25,False,False,True,False,False,False,False,False,18102
212,382,4150,2008-06-17,1958-11-25,False,False,True,False,False,False,False,False,18102
213,386,4100,2011-01-11,1959-01-06,False,True,False,False,False,False,False,False,18998
214,386,4802,2011-01-11,1959-01-06,False,True,False,False,False,False,False,False,18998
215,391,2600,1960-05-20,1958-12-30,False,True,False,False,False,False,False,False,507
216,393,4800,2023-03-23,1958-12-25,False,False,False,False,False,False,False,True,23464
217,395,4800,2009-07-30,1958-12-02,False,False,False,False,False,True,False,False,18503
218,397,8400,2006-01-11,1959-02-06,False,True,False,False,False,False,False,False,17141
219,398,4800,2012-02-23,1958-11-29,False,False,False,False,False,False,False,True,19444
220,401,4800,2023-03-19,1959-03-01,False,False,False,False,False,True,False,False,23394
221,402,4800,2012-03-13,1958-12-18,False,False,False,False,False,False,False,True,19444
222,403,8400,2003-02-01,1959-03-13,False,True,False,False,False,False,False,False,16031
223,404,8400,1998-03-08,1959-01-27,False,False,False,False,False,False,False,True,14285
224,404,7400,1998-03-08,1959-01-27,False,False,False,False,False,False,False,True,14285
225,409,4800,2023-02-28,1959-01-03,False,False,False,True,False,False,False,False,23432
226,409,2700,2023-02-28,1959-01-03,False,False,False,True,False,False,False,False,23432
227,412,4575,2023-09-13,1959-02-21,False,True,False,False,False,False,False,False,23580
228,412,4535,2023-09-13,1959-02-21,False,True,False,False,False,False,False,False,23580
229,418,4800,2010-09-02,1959-03-15,False,False,False,False,False,False,True,False,18799
230,418,2700,2010-09-02,1959-03-15,False,False,False,False,False,False,True,False,18799
231,430,2600,1960-01-17,1959-02-12,False,False,False,False,False,False,True,False,339
232,430,4800,1960-01-17,1959-02-12,False,False,False,False,False,False,True,False,339
233,432,4100,2001-01-23,1959-03-19,False,False,False,False,False,False,True,False,15286
234,432,2700,2001-01-23,1959-03-19,False,False,False,False,False,False,True,False,15286
235,432,2600,2001-01-23,1959-03-19,False,False,False,False,False,False,True,False,15286
236,435,4800,2023-03-08,1959-03-05,False,False,False,False,False,False,False,True,23379
237,436,4800,2023-03-21,1959-02-14,False,False,False,False,False,True,False,False,23411
238,438,6200,2006-04-02,1964-07-26,False,True,False,False,False,False,False,False,15225
239,440,4800,2023-03-07,1959-02-27,False,False,False,False,False,True,False,False,23384
240,449,2700,2023-03-24,1959-03-14,False,False,False,False,False,True,False,False,23386
